length	GPMeta	Bowtie2	Bwa	Kraken2	Centrifuge
SE50	0.952518535	0.92771146	0.928966909	0.849610274	0.928709049
SE50	0.951759396	0.928106414	0.92893452	0.849766628	0.929098092
SE50	0.95266208	0.928036212	0.92917787	0.849745701	0.929300873
SE50	0.952803897	0.928575343	0.928766287	0.849464574	0.928684651
SE50	0.95202007	0.92845216	0.929823869	0.850389848	0.929582054
SE65	0.96275563	0.937508323	0.938277743	0.858977019	0.937568479
SE65	0.962757964	0.937338731	0.937189704	0.859080387	0.938491337
SE65	0.962991877	0.937268682	0.937466909	0.859336223	0.937860527
SE65	0.963209968	0.937404377	0.937713701	0.859229989	0.938452331
SE65	0.962479499	0.93757854	0.938231728	0.859321211	0.938471032
SE75	0.967230628	0.940005446	0.942620283	0.864413041	0.943640306
SE75	0.967270969	0.940362354	0.941978143	0.864274741	0.94391732
SE75	0.967195959	0.940484637	0.941976117	0.864709014	0.943656924
SE75	0.967223776	0.941206821	0.942517184	0.86461748	0.944003387
SE75	0.966236183	0.940999187	0.942722676	0.864740529	0.944384512
SE100	0.973946717	0.948562811	0.950422537	0.878659636	0.952474693
SE100	0.973905183	0.949197488	0.949907342	0.878785277	0.952516745
SE100	0.974103279	0.948517534	0.95016244	0.87885119	0.953002245
SE100	0.974295069	0.949256537	0.950196588	0.879250332	0.953234102
SE100	0.973617586	0.948685692	0.950016994	0.878966196	0.952799753
SE150	0.985736246	0.957780437	0.959627863	0.895903809	0.962986477
SE150	0.985908545	0.957921093	0.960131641	0.896236019	0.963389485
SE150	0.985138444	0.958204594	0.959938836	0.896191436	0.963411616
SE150	0.986297795	0.958166946	0.960252806	0.896766174	0.96390499
SE150	0.985861114	0.957691442	0.959977513	0.896326434	0.963536249
