length	GPMeta	Bowtie2	Bwa
SE50	0.003582143	0.000435714	0.000764286
SE50	0.003396429	0.000371429	0.000742857
SE50	0.003825	0.000378571	0.000707143
SE50	0.003717857	0.000414286	0.000714286
SE50	0.003375	0.000421429	0.000692857
SE65	0.000485714	0.000289286	0.001075
SE65	0.000514286	0.000232143	0.001060714
SE65	0.000525	0.000257143	0.001092857
SE65	0.000564286	0.000196429	0.001039286
SE65	0.000521429	0.000264286	0.001042857
SE75	0.000225	0.000239286	0.001289286
SE75	0.00025	0.000167857	0.001221429
SE75	0.000271429	0.000228571	0.001253571
SE75	0.000292857	0.000178571	0.001246429
SE75	0.000310714	0.000225	0.001232143
SE100	0.000175	0.000135714	0.001778571
SE100	0.000110714	0.000132143	0.001707143
SE100	0.000146429	0.00015	0.001825
SE100	0.000164286	0.000125	0.001717857
SE100	0.000175	0.00015	0.001732143
SE150	0.000110714	0.0001	0.002671429
SE150	6.42857E-05	6.42857E-05	0.0027
SE150	0.000139286	9.28571E-05	0.002685714
SE150	0.000107143	8.57143E-05	0.002625
SE150	0.000110714	0.0001	0.002614286
